region,year,wastewater,chemical oxygen,ammonia nitrogen,so,no,smoke and powder,gdp
吉林省,2010,114431,35.2,35.2,35.631,,35.4,8667.58
黑龍江省,2010,118575,44.4,44.4,49.0164,,47.9,10368.6
上海市,2010,248250,22,22,35.81,,11.2,17165.98
江蘇省,2010,555500,78.8,78.8,105.0488,,48.6,41425.48
浙江省,2010,394828,48.7,48.7,67.8342,,31.3,27722.31
安徽省,2010,184700,41.1,41.1,53.2076,,51.9,12359.33
福建省,2010,238502,37.3,37.3,40.9051,,27.9,14737.12
江西省,2010,160661,43.1,43.1,55.7072,,38.8,9451.26
山東省,2010,436372,62.1,62.1,153.7818,,58.1,39169.92
河南省,2010,358679,62,62,133.8701,,77.4,23092.36
湖北省,2010,270755,57.2,57.2,63.2582,,33.9,15967.61
湖南省,2010,268110,79.8,79.8,80.1311,,70.6,16037.96
廣東省,2010,722978,85.8,85.8,105.0508,,41.5,46013.06
廣西壯族自治區,2010,312630,93.7,93.7,90.3826,,58,9569.85
海南省,2010,36689,9.2,9.2,2.881,,1.5,2064.5
重慶市,2010,128113,23.5,23.5,71.9404,,29.2,7925.58
四川省,2010,256095,74.1,74.1,113.0952,,48.2,17185.48
貴州省,2010,60823,20.8,20.8,114.883,,33.8,4602.16
雲南省,2010,91992,26.8,26.8,50.0702,,23,7224.18
西藏自治區,2010,3825,2.9,2.9,0.3857,,0.3,507.46
陝西省,2010,115673,30.8,30.8,77.8649,,34.8,10123.48
甘肅省,2010,51241,16.8,16.8,55.1785,,25.6,4120.75
青海省,2010,22609,8.3,8.3,14.3431,,17.5,1350.43
寧夏回族自治區,2010,40653,12.2,12.2,31.0752,,23.3,1689.65
新疆維吾爾自治區,2010,83690,29.6,29.6,58.8487,,52.9,5437.47
北京市,2011,145468.95,19.32,19.32,9.788333,18.832489,6.584804,16251.93
天津市,2011,67146.94,23.58,23.58,23.09,35.89,7.592253,11307.28
河北省,2011,278551.26,138.88,138.88,141.212873,180.113833,132.247713,24515.76
山西省,2011,116132.01,48.96,48.96,139.905129,128.601927,112.985408,11237.55
內蒙古自治區,2011,100388.99,91.9,91.9,140.940433,142.189656,73.98757,14359.88
遼寧省,2011,232247.02,134.34,134.34,112.616982,106.281692,69.315961,22226.7
吉林省,2011,116162.36,82.47,82.47,41.319052,60.4716,43.218066,10568.83
黑龍江省,2011,150661.01,157.65,157.65,52.189619,78.375304,65.58693,12582
上海市,2011,214155.09,24.9,24.9,24.01015,43.54001,8.98284,19195.69
江蘇省,2011,592773.76,124.62,124.62,105.379974,153.57401,52.735447,49110.27
浙江省,2011,420133.89,81.83,81.83,66.204827,85.905064,32.332004,32318.85
安徽省,2011,243265.24,95.33,95.33,52.947384,95.911357,45.222397,15300.65
福建省,2011,316177.53,67.94,67.94,38.917459,49.4507,22.534068,17560.18
江西省,2011,194431.55,76.79,76.79,58.406127,61.23411,39.603784,11702.82
山東省,2011,443330.98,198.25,198.25,182.73972,179.025261,78.384741,45361.85
河南省,2011,378784.85,143.67,143.67,137.050408,166.536329,66.821565,26931.03
湖北省,2011,293063.53,110.47,110.47,66.564029,66.96499,34.61498,19632.26
